Advance Internet_MLive.com_Grand Rapids|advgrapids|3172|MLive.com: Grand Rapids|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_MLive.com_Jackson|advjackson|3173|MLive.com: Jackson|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_MLive.com_Kalamazoo|advkzoo|3174|MLive.com: Kalamazoo|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_MLive.com_Lansing|advlansing|3758|MLive.com: Lansing|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_MLive.com_Muskegon|advmusk|3175|MLive.com: Muskegon|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_MLive.com_Saginaw|advsag|3176|MLive.com: Saginaw|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_nj.com (demo)_Mobile|njdemo|2915|nj.com (demo)|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_NJ.com_Jersey City|advnj|3161|NJ.com|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_NOLA.com_New Orleans|advnola|3162|NOLA.com|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_OregonLive_Portland|advorg|3163|OregonLive|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_PennLive_Harrisburg|advpenn|3164|PennLive|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_Save the Gulf_Pascagoula|savethegulf|3182|Save the Gulf|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_SILive.com_Staten Island|advstaten|3166|SILive.com|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_syracuse.com_Syracuse|advsyra|3165|syracuse.com|3215|Advance Internet|4|Partner Portal|N/A|
Advance Internet_Test SMS_Mobile|testsms|3505|Test SMS|3215|Advance Internet|4|Partner Portal|N/A|
Advance Mobile Web|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Advance Other|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Advance.Nola.com.Android|advnola|3162|NOLA.com|3215|Advance Internet|38|Android News Client|N/A|
Advance_AI.com_Android|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Advance_AI.com_iphone|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Advance_AL.com_i-Pad|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Advance_al.comTuscaloosa_Android|advtusc|3671|al.com: Tuscaloosa|3215|Advance Internet|38|Android News Client|N/A|
Advance_al.comTuscaloosa_iPhone|advtusc|3671|al.com: Tuscaloosa|3215|Advance Internet|23|iPhone News Client|N/A|
Advance_al.comTuscaloosa_MW|advtusc|3671|al.com: Tuscaloosa|3215|Advance Internet|4|Partner Portal|N/A|
Advance_Cleveland.com|advcleve|3158|cleveland|3215|Advance Internet|4|Partner Portal|N/A|
Advance_Cleveland_Android|advcleve|3158|cleveland|3215|Advance Internet|38|Android News Client|N/A|
Advance_Cleveland_iPhone|advcleve|3158|cleveland|3215|Advance Internet|23|iPhone News Client|N/A|
Advance_GulfLive_Android|advgulf|3159|gulflive.com|3215|Advance Internet|38|Android News Client|N/A|
Advance_GulfLive_iPhone|advgulf|3159|gulflive.com|3215|Advance Internet|23|iPhone News Client|N/A|
Advance_Lehigh Valley_Android|advlehigh|3160|Lehigh Valley|3215|Advance Internet|38|Android News Client|N/A|
Advance_Lehigh Valley_iPhone|advlehigh|3160|Lehigh Valley|3215|Advance Internet|23|iPhone News Client|N/A|
Advance_MassLive_Android|advmasslive|3167|MassLive|3215|Advance Internet|38|Android News Client|N/A|
Advance_MassLive_iPhone|advmasslive|3167|MassLive|3215|Advance Internet|23|iPhone News Client|N/A|
Advance_Mlive - Lansing|advlansing|3758|MLive.com: Lansing|3215|Advance Internet|4|Partner Portal|N/A|
Advance_MLive.com_Android|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Advance_Mlive.com_i-Pad|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Advance_MLive.com_iPhone|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Advance_NJ.com_Android|advnj|3161|NJ.com|3215|Advance Internet|38|Android News Client|N/A|
Advance_NJ.com_iPhone|advnj|3161|NJ.com|3215|Advance Internet|23|iPhone News Client|N/A|
Advance_Nola.com_iPhone|advnola|3162|NOLA.com|3215|Advance Internet|23|iPhone News Client|N/A|
Advance_OregonLive.com|advorg|3163|OregonLive|3215|Advance Internet|4|Partner Portal|N/A|
Advance_OregonLive_Android|advorg|3163|OregonLive|3215|Advance Internet|38|Android News Client|N/A|
Advance_OregonLive_iPhone|advorg|3163|OregonLive|3215|Advance Internet|23|iPhone News Client|N/A|
Advance_PennLive.com_Android|advpenn|3164|PennLive|3215|Advance Internet|38|Android News Client|N/A|
Advance_PennLive.com_iPhone|advpenn|3164|PennLive|3215|Advance Internet|23|iPhone News Client|N/A|
Advance_PennStateFootball|pennstate|3672|Penn State Football|3215|Advance Internet|4|Partner Portal|N/A|
Advance_pennstatefootball_android|pennstate|3672|Penn State Football|3215|Advance Internet|38|Android News Client|N/A|
Advance_pennstatefootballiphone|pennstate|3672|Penn State Football|3215|Advance Internet|23|iPhone News Client|N/A|
Advance_SaveTheGulf|savethegulf|3182|Save the Gulf|3215|Advance Internet|4|Partner Portal|N/A|
Advance_SILive.com_Android|advstaten|3166|SILive.com|3215|Advance Internet|38|Android News Client|N/A|
Advance_SILive.com_iPhone|advstaten|3166|SILive.com|3215|Advance Internet|23|iPhone News Client|N/A|
Advance_Syracuse.com_Android|advsyra|3165|syracuse.com|3215|Advance Internet|38|Android News Client|N/A|
