59|34|wickedlocal.com|Wicked Local portal|85|0|f|f|f|346092|2010-07-09 15:00:17.449374|9999-12-31 00:00:00|wickedlocal.com|Wicked Local portal|wkd
31|11|Freerange J2ME Client|AP MNN native J2ME client.|238|0|f|f|f|36474|2008-11-21 19:00:07.609|2009-04-09 23:15:08.83029|AP J2ME Client|AP MNN native J2ME client.|apj2
60|35|MySuburbanLife.com|MySuburbanLife portal|85|0|f|f|f|346098|2010-07-09 15:30:22.857072|2010-07-27 22:31:19.409412|MySuburbanLife.com|MySuburbanLife portal|msl
38|16|AP News|Associated Press portal.|238|0|f|f|f|112221|2009-04-01 10:45:25.887484|9999-12-31 00:00:00|AP News|Associated Press portal.|mnn
37|16|AP Edition Selection|AP Edition Selection|238|0|f|f|f|111873|2009-03-31 20:30:09.068316|2009-04-01 10:45:24.887484|AP News|Associated Press portal.|mnn
41|17|Test Portal|Testing traffic.|85|0|f|f|f|117251|2009-04-09 23:15:09.83029|9999-12-31 00:00:00|Test Portal|Testing traffic.|test
45|18|Examiner.com|Examiner portal|2603|0|f|f|f|141449|2009-05-21 11:30:10.324622|2009-07-07 11:15:48.427972|Examiner.com|Examiner portal|xmnr
49|18|Examiner.com|Examiner portal|2634|0|f|f|f|168908|2009-07-07 11:15:49.427972|9999-12-31 00:00:00|Examiner.com|Examiner portal|xmnr
67|39|T-Mobile AP|T-Mobile AP|238|0|f|f|f|384097|2010-11-12 08:30:41.048537|2010-11-18 09:30:47.079616|T-Mobile AP|T-Mobile AP|tmap
29|7|US Cellular MNN|US Cellular Mobile News Network portal|238|1|f|f|f|15052|2008-10-16 10:45:07.551736|2009-05-14 09:15:16.598036|US Cellular MNN|US Cellular Mobile News Network portal|uscc
42|7|US Cellular MNN|US Cellular Mobile News Network portal|238|0|f|f|f|137321|2009-05-14 09:15:17.598036|2009-05-14 09:30:13.353752|US Cellular MNN|US Cellular Mobile News Network portal|uscc
43|7|US Cellular MNN|US Cellular Mobile News Network portal|238|1|f|f|f|137327|2009-05-14 09:30:14.353752|2009-05-14 09:45:12.486662|US Cellular MNN|US Cellular Mobile News Network portal|uscc
44|7|US Cellular MNN|US Cellular Mobile News Network portal|85|1|f|f|f|137333|2009-05-14 09:45:13.486662|9999-12-31 00:00:00|US Cellular MNN|US Cellular Mobile News Network portal|uscc
47|20|Verve Web Run-Time Client|Verve Nokia widget.|85|0|f|f|f|161654|2009-06-25 01:30:10.439297|9999-12-31 00:00:00|Verve Web Run-Time Client|Verve Nokia widget.|vwrt
48|21|AP Windows Mobile Client|AP MNN Windows Mobile client.|238|0|f|f|f|162551|2009-06-26 14:30:29.169396|9999-12-31 00:00:00|AP Windows Mobile Client|AP MNN Windows Mobile client.|apwm
50|8|AP iPhone Client|AP MNN native iPhone client.|238|0|f|f|f|178851|2009-07-24 10:00:16.816754|9999-12-31 00:00:00|AP iPhone Client|AP MNN native iPhone client.|apcl
51|22|Cox Wireless|Cox Wireless portal.|85|0|f|f|f|202004|2009-09-02 14:45:57.552147|9999-12-31 00:00:00|Cox Wireless|Cox Wireless portal.|cox
52|23|iPhone News Client|Native iPhone news client.|85|0|f|f|f|211887|2009-09-19 07:45:14.110562|9999-12-31 00:00:00|iPhone News Client|Native iPhone news client.|iphn
53|24|AP iPad Client|AP MNN iPad client.|238|0|f|f|f|314590|2010-03-26 15:00:17.236037|9999-12-31 00:00:00|AP iPad Client|AP MNN iPad client.|apid
54|25|BlackBerry News Client|Native BlackBerry news client.|85|0|f|f|f|326592|2010-05-05 15:00:16.634034|9999-12-31 00:00:00|BlackBerry News Client|Native BlackBerry news client.|bapp
55|15|Verve External|Traffic/advertising on external sites.|85|0|f|f|f|334944|2010-06-02 11:00:19.490878|9999-12-31 00:00:00|Verve External|Traffic/advertising on external sites.|ext
36|15|Verve External|Traffic/advertising on sites external to Verve.|85|0|f|f|f|99685|2009-03-10 14:45:08.32058|2010-06-02 11:00:18.490878|Verve External|Traffic/advertising on external sites.|ext
61|30|Advance Internet, Alabama|Alabama deck for Advance Internet|3191|0|f|f|f|348750|2010-07-19 17:00:17.820258|9999-12-31 00:00:00|Advance Internet, Alabama|Alabama deck for Advance Internet|aial
56|30|Advanced Internet, Alabama|Alabama deck for Advance Internet|3191|0|f|f|f|338988|2010-06-15 23:00:17.282779|2010-07-19 17:00:16.820258|Advance Internet, Alabama|Alabama deck for Advance Internet|aial
62|31|Advance Internet, Michigan|Michigan deck for Advance Internet|3192|0|f|f|f|348750|2010-07-19 17:00:17.820258|9999-12-31 00:00:00|Advance Internet, Michigan|Michigan deck for Advance Internet|aimi
